,Date,Open,High,Low,Close,Volume,Year,Sentiment,SPY
0,2010-01-04,55.52,55.73,52.96,53.48,2462800.0,2010,,53.48
1,2010-01-05,53.57,53.6,50.81,51.51,3393300.0,2010,,51.51
2,2010-01-06,51.53,53.71,50.38,53.32,3327200.0,2010,,53.32
3,2010-01-07,54.12,54.3,52.2406,52.4,1422200.0,2010,1.0,52.4
4,2010-01-08,52.49,54.2,52.26,53.3,1168700.0,2010,,53.3
5,2010-01-11,53.62,53.93,52.7,53.23,969100.0,2010,,53.23
6,2010-01-12,52.7,53.08,52.16,52.37,904300.0,2010,,52.37
7,2010-01-13,53.29,54.28,52.91,53.96,2060300.0,2010,,53.96
8,2010-01-14,52.63,53.03,50.89,50.99,2526500.0,2010,,50.99
9,2010-01-15,50.72,51.85,50.63,50.95,1861600.0,2010,,50.95
10,2010-01-19,50.75,51.68,50.7,51.2,757500.0,2010,,51.2
11,2010-01-20,50.86,52.45,50.55,51.24,1383600.0,2010,,51.24
12,2010-01-21,50.52,52.18,50.5,51.19,1230700.0,2010,,51.19
13,2010-01-22,51.08,52.39,50.5,50.89,1342200.0,2010,,50.89
14,2010-01-25,51.05,51.4986,48.52,49.13,1970200.0,2010,,49.13
15,2010-01-26,48.72,50.25,48.56,49.95,1620500.0,2010,,49.95
16,2010-01-27,50.0,51.18,48.95,50.97,3335300.0,2010,,50.97
17,2010-01-28,61.69,63.85,60.73,63.04,11050400.0,2010,1.0,63.04
18,2010-01-29,62.74,64.57,61.55,62.25,3514900.0,2010,,62.25
19,2010-02-01,61.81,62.87,59.73,61.03,2702000.0,2010,,61.03
20,2010-02-02,60.9,62.15,60.87,61.85,1463200.0,2010,,61.85
21,2010-02-03,61.85,62.88,61.33,61.95,1251600.0,2010,,61.95
22,2010-02-04,61.35,62.2499,60.13,60.34,1575200.0,2010,,60.34
23,2010-02-05,60.17,61.01,59.28,60.84,1585600.0,2010,,60.84
24,2010-02-08,60.94,61.71,60.0,60.9,1335200.0,2010,,60.9
25,2010-02-09,61.06,62.16,60.97,62.13,1258800.0,2010,,62.13
26,2010-02-10,62.11,62.43,61.04,61.49,829700.0,2010,,61.49
27,2010-02-11,61.21,63.49,61.1001,63.36,1029100.0,2010,,63.36
28,2010-02-12,63.0,63.1833,62.08,63.18,1201200.0,2010,,63.18
29,2010-02-16,63.62,65.01,63.5,64.86,1417500.0,2010,,64.86
30,2010-02-17,64.79,64.79,63.43,64.51,1162000.0,2010,,64.51
31,2010-02-18,63.91,66.27,63.89,66.1,1258000.0,2010,,66.1
32,2010-02-19,65.85,67.0701,65.53,66.65,1259000.0,2010,,66.65
33,2010-02-22,67.04,67.3,63.81,65.27,5042600.0,2010,,65.27
34,2010-02-23,64.86,65.25,64.17,64.35,1864200.0,2010,,64.35
